local_equipo,local_totalShots,local_shotsOnTarget,local_wonCorners,local_possessionPct,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_saves,local_blockedShots,visita_equipo,visita_totalShots,visita_shotsOnTarget,visita_wonCorners,visita_possessionPct,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_saves,visita_blockedShots,event_id,fecha,temporada
La Serena,9.0,4.0,5.0,61.9,11.0,3.0,0.0,0.0,2.0,2.0,Curicó Unido,10.0,2.0,3.0,38.1,11.0,1.0,0.0,1.0,2.0,2.0,597172,2021-04-04 21:00:00,2021
Universidad Católica,14.0,7.0,7.0,44.9,12.0,1.0,0.0,2.0,0.0,3.0,Palestino,6.0,1.0,6.0,55.1,13.0,2.0,0.0,2.0,5.0,2.0,597175,2021-04-04 23:15:00,2021
O'Higgins,6.0,1.0,2.0,50.6,13.0,3.0,0.0,2.0,5.0,2.0,Audax Italiano,9.0,5.0,8.0,49.4,10.0,1.0,0.0,1.0,1.0,2.0,597170,2021-04-05 01:30:00,2021
Unión Española,14.0,5.0,9.0,61.8,8.0,2.0,1.0,2.0,2.0,1.0,Melipilla,8.0,4.0,1.0,38.2,13.0,2.0,0.0,3.0,5.0,0.0,597165,2021-04-10 20:00:00,2021
Audax Italiano,8.0,3.0,5.0,41.7,19.0,2.0,0.0,5.0,1.0,1.0,Universidad Católica,6.0,1.0,2.0,58.3,22.0,2.0,0.0,3.0,2.0,2.0,597167,2021-04-10 22:30:00,2021
La Serena,13.0,5.0,6.0,55.4,13.0,2.0,0.0,1.0,6.0,2.0,Universidad de Chile,15.0,7.0,6.0,44.6,13.0,3.0,0.0,0.0,5.0,5.0,597168,2021-04-11 19:00:00,2021
Santiago Wanderers,15.0,3.0,5.0,57.9,15.0,3.0,0.0,0.0,0.0,6.0,Unión La Calera,9.0,2.0,4.0,42.1,17.0,3.0,0.0,1.0,2.0,1.0,597169,2021-04-11 21:30:00,2021
Colo Colo,7.0,1.0,7.0,43.1,7.0,0.0,1.0,1.0,2.0,3.0,O'Higgins,8.0,4.0,2.0,56.9,10.0,3.0,0.0,4.0,0.0,1.0,597166,2021-04-12 00:00:00,2021
Ñublense,17.0,9.0,8.0,51.5,14.0,4.0,0.0,0.0,1.0,4.0,Cobresal,8.0,2.0,3.0,48.5,9.0,0.0,0.0,3.0,6.0,1.0,597163,2021-04-12 16:00:00,2021
Palestino,14.0,4.0,2.0,44.4,10.0,2.0,1.0,2.0,2.0,5.0,Everton CD,13.0,3.0,3.0,55.6,9.0,3.0,0.0,2.0,3.0,2.0,597164,2021-04-12 19:00:00,2021
Curicó Unido,19.0,9.0,11.0,51.3,13.0,2.0,0.0,1.0,3.0,5.0,Antofagasta,6.0,4.0,2.0,48.7,11.0,1.0,0.0,2.0,8.0,0.0,597162,2021-04-12 21:15:00,2021
Melipilla,15.0,1.0,3.0,47.3,17.0,2.0,0.0,3.0,1.0,4.0,Palestino,11.0,2.0,3.0,52.7,11.0,4.0,0.0,0.0,1.0,3.0,597158,2021-04-16 19:30:00,2021
Huachipato,21.0,10.0,14.0,60.6,15.0,2.0,0.0,0.0,1.0,2.0,Ñublense,8.0,4.0,2.0,39.4,13.0,3.0,0.0,3.0,5.0,2.0,597161,2021-04-16 22:00:00,2021
Universidad Católica,6.0,2.0,2.0,43.8,14.0,2.0,0.0,0.0,4.0,2.0,Curicó Unido,13.0,5.0,13.0,56.2,9.0,1.0,0.0,1.0,0.0,4.0,597156,2021-04-17 00:30:00,2021
O'Higgins,10.0,2.0,5.0,45.7,13.0,3.0,0.0,5.0,2.0,0.0,La Serena,10.0,2.0,5.0,54.3,10.0,2.0,0.0,2.0,2.0,2.0,597157,2021-04-17 22:00:00,2021
Unión La Calera,7.0,2.0,2.0,52.0,12.0,2.0,0.0,0.0,6.0,1.0,Audax Italiano,13.0,7.0,6.0,48.0,12.0,2.0,0.0,0.0,1.0,3.0,597154,2021-04-18 00:30:00,2021
Cobresal,15.0,7.0,1.0,38.3,16.0,2.0,0.0,4.0,3.0,2.0,Santiago Wanderers,8.0,4.0,5.0,61.7,9.0,5.0,0.0,0.0,5.0,1.0,597160,2021-04-18 15:00:00,2021
Everton CD,10.0,1.0,4.0,40.4,15.0,1.0,0.0,2.0,0.0,2.0,Colo Colo,13.0,2.0,2.0,59.6,11.0,1.0,0.0,1.0,1.0,5.0,597155,2021-04-18 19:00:00,2021
Universidad de Chile,15.0,6.0,4.0,47.3,13.0,2.0,0.0,3.0,4.0,2.0,Unión Española,21.0,5.0,7.0,52.7,11.0,3.0,0.0,0.0,4.0,5.0,597159,2021-04-20 00:30:00,2021
Curicó Unido,14.0,7.0,1.0,55.6,11.0,0.0,1.0,1.0,6.0,3.0,Everton CD,17.0,7.0,8.0,44.4,16.0,4.0,0.0,1.0,6.0,3.0,597147,2021-04-24 00:00:00,2021
Antofagasta,17.0,8.0,3.0,52.0,14.0,2.0,0.0,2.0,5.0,3.0,Cobresal,22.0,6.0,0.0,48.0,10.0,2.0,0.0,2.0,5.0,5.0,597146,2021-04-24 16:00:00,2021
La Serena,15.0,6.0,5.0,58.3,15.0,3.0,0.0,1.0,3.0,5.0,Unión Española,10.0,3.0,4.0,41.7,7.0,2.0,0.0,0.0,6.0,2.0,597151,2021-04-24 19:30:00,2021
