local_equipo,local_totalShots,local_shotsOnTarget,local_wonCorners,local_possessionPct,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_saves,local_blockedShots,visita_equipo,visita_totalShots,visita_shotsOnTarget,visita_wonCorners,visita_possessionPct,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_saves,visita_blockedShots,event_id,fecha,temporada
Vélez Sarsfield,12.0,3.0,9.0,71.3,9.0,3.0,0.0,2.0,2.0,5.0,Defensa y Justicia,9.0,2.0,0.0,28.7,11.0,2.0,0.0,2.0,3.0,3.0,610221,2021-07-28 16:30:00,2021
Independiente,17.0,5.0,10.0,62.3,9.0,0.0,0.0,0.0,3.0,5.0,Patronato,14.0,3.0,3.0,37.7,25.0,5.0,0.0,0.0,3.0,5.0,610223,2021-07-28 18:45:00,2021
Lanús,12.0,5.0,10.0,37.6,16.0,3.0,0.0,1.0,3.0,1.0,River Plate,18.0,6.0,6.0,62.4,16.0,2.0,0.0,2.0,5.0,3.0,610226,2021-07-28 21:00:00,2021
Central Córdoba (Santiago del Estero),10.0,3.0,3.0,25.5,22.0,4.0,0.0,3.0,0.0,1.0,Talleres (Córdoba),8.0,1.0,5.0,74.5,12.0,3.0,0.0,7.0,2.0,1.0,610229,2021-07-29 14:15:00,2021
Arsenal Sarandi,14.0,4.0,3.0,34.2,11.0,3.0,0.0,0.0,1.0,5.0,Argentinos Juniors,8.0,1.0,3.0,65.8,14.0,4.0,0.0,2.0,3.0,4.0,610217,2021-07-29 16:30:00,2021
Gimnasia La Plata,12.0,5.0,2.0,38.0,15.0,1.0,0.0,1.0,2.0,1.0,Rosario Central,15.0,2.0,9.0,62.0,10.0,2.0,0.0,1.0,4.0,7.0,610227,2021-07-29 18:45:00,2021
Newell's Old Boys,11.0,4.0,2.0,54.9,16.0,0.0,0.0,3.0,5.0,2.0,Estudiantes de La Plata,15.0,7.0,6.0,45.1,10.0,1.0,0.0,0.0,0.0,2.0,610222,2021-07-29 21:00:00,2021
Colón (Santa Fe),10.0,2.0,3.0,54.2,10.0,3.0,0.0,1.0,3.0,4.0,Godoy Cruz Antonio Tomba,10.0,3.0,2.0,45.8,15.0,5.0,0.0,4.0,1.0,3.0,610211,2021-07-31 13:30:00,2021
Lanús,6.0,2.0,2.0,43.9,10.0,2.0,0.0,1.0,3.0,1.0,Unión (Santa Fe),14.0,3.0,5.0,56.1,9.0,0.0,0.0,3.0,1.0,3.0,610215,2021-07-31 15:45:00,2021
Racing Club,20.0,3.0,7.0,72.8,10.0,1.0,0.0,0.0,2.0,6.0,Sarmiento (Junín),10.0,2.0,6.0,27.2,12.0,1.0,0.0,2.0,2.0,3.0,610214,2021-07-31 18:00:00,2021
