local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Sevilla,18.0,4.0,1.0,0.0,4.0,7.0,47.6,11.0,2.0,0.2,1.0,1.0,302.0,392.0,0.8,6.0,18.0,0.3,63.0,33.0,0.5,3.0,9.0,14.0,0.6,4.0,27.0,27.0,RB Salzburg,16.0,4.0,0.0,1.0,6.0,1.0,52.4,16.0,8.0,0.5,1.0,3.0,352.0,435.0,0.8,1.0,17.0,0.1,68.0,32.0,0.5,4.0,16.0,24.0,0.7,7.0,22.0,22.0,618791,2021-09-14 16:45:00,2021
Barcelona,9.0,1.0,0.0,2.0,2.0,4.0,48.4,5.0,0.0,0.0,0.0,0.0,474.0,537.0,0.9,2.0,15.0,0.1,50.0,30.0,0.6,2.0,5.0,11.0,0.5,11.0,14.0,14.0,Bayern Munich,13.0,2.0,0.0,2.0,1.0,0.0,51.6,17.0,7.0,0.4,0.0,0.0,512.0,577.0,0.9,4.0,12.0,0.3,40.0,30.0,0.8,4.0,13.0,16.0,0.8,13.0,9.0,9.0,618785,2021-09-14 19:00:00,2021
Dynamo Kyiv,10.0,3.0,0.0,8.0,5.0,4.0,31.7,8.0,4.0,0.5,0.0,0.0,214.0,288.0,0.7,4.0,12.0,0.3,54.0,25.0,0.5,3.0,11.0,24.0,0.5,12.0,24.0,24.0,Benfica,12.0,3.0,0.0,0.0,3.0,4.0,68.3,12.0,4.0,0.3,0.0,0.0,562.0,630.0,0.9,3.0,16.0,0.2,29.0,21.0,0.7,6.0,4.0,8.0,0.5,11.0,16.0,16.0,618786,2021-09-14 19:00:00,2021
Malmö FF,13.0,2.0,0.0,0.0,3.0,5.0,39.8,9.0,1.0,0.1,0.0,0.0,338.0,404.0,0.8,6.0,15.0,0.4,61.0,39.0,0.6,2.0,6.0,6.0,1.0,15.0,15.0,15.0,Juventus,11.0,1.0,0.0,4.0,3.0,1.0,60.2,16.0,8.0,0.5,1.0,1.0,552.0,621.0,0.9,5.0,16.0,0.3,60.0,38.0,0.6,0.0,14.0,20.0,0.7,11.0,8.0,8.0,618787,2021-09-14 19:00:00,2021
Lille,5.0,2.0,0.0,6.0,5.0,0.0,53.4,17.0,4.0,0.2,0.0,0.0,396.0,482.0,0.8,5.0,22.0,0.2,47.0,23.0,0.5,5.0,15.0,21.0,0.7,8.0,7.0,7.0,VfL Wolfsburg,16.0,4.0,1.0,1.0,0.0,4.0,46.6,2.0,0.0,0.0,0.0,0.0,337.0,433.0,0.8,1.0,7.0,0.1,77.0,34.0,0.4,0.0,10.0,18.0,0.6,8.0,20.0,20.0,618788,2021-09-14 19:00:00,2021
Villarreal,13.0,3.0,1.0,1.0,7.0,2.0,47.5,14.0,7.0,0.5,0.0,0.0,309.0,396.0,0.8,5.0,13.0,0.4,48.0,24.0,0.5,3.0,7.0,10.0,0.7,10.0,11.0,11.0,Atalanta,11.0,1.0,0.0,2.0,4.0,5.0,52.5,13.0,4.0,0.3,0.0,0.0,347.0,433.0,0.8,5.0,17.0,0.3,46.0,21.0,0.5,2.0,11.0,25.0,0.4,14.0,13.0,13.0,618784,2021-09-14 19:00:00,2021
Chelsea,9.0,1.0,0.0,0.0,7.0,2.0,66.3,11.0,2.0,0.2,0.0,0.0,736.0,804.0,0.9,2.0,22.0,0.1,41.0,27.0,0.7,5.0,5.0,10.0,0.5,7.0,4.0,4.0,Zenit St Petersburg,5.0,1.0,0.0,1.0,4.0,1.0,33.7,6.0,2.0,0.3,0.0,0.0,347.0,412.0,0.8,3.0,6.0,0.5,64.0,37.0,0.6,1.0,12.0,19.0,0.6,14.0,27.0,27.0,618789,2021-09-14 19:00:00,2021
Sheriff Tiraspol,7.0,1.0,0.0,1.0,5.0,3.0,25.3,11.0,4.0,0.4,0.0,0.0,161.0,228.0,0.7,5.0,11.0,0.5,56.0,24.0,0.4,4.0,18.0,25.0,0.7,10.0,33.0,33.0,Shakhtar Donetsk,7.0,0.0,0.0,0.0,17.0,2.0,74.7,20.0,3.0,0.2,0.0,0.0,606.0,665.0,0.9,10.0,37.0,0.3,25.0,14.0,0.6,6.0,9.0,12.0,0.8,6.0,8.0,8.0,618783,2021-09-15 16:45:00,2021
Besiktas,9.0,3.0,0.0,1.0,4.0,5.0,57.7,12.0,3.0,0.3,0.0,0.0,558.0,633.0,0.9,9.0,20.0,0.5,49.0,33.0,0.7,2.0,11.0,23.0,0.5,12.0,13.0,13.0,Borussia Dortmund,14.0,2.0,0.0,0.0,5.0,2.0,42.3,14.0,7.0,0.5,0.0,0.0,387.0,473.0,0.8,2.0,10.0,0.2,39.0,17.0,0.4,1.0,11.0,21.0,0.5,5.0,17.0,17.0,618782,2021-09-15 16:45:00,2021
Liverpool,11.0,1.0,0.0,1.0,15.0,1.0,61.1,23.0,8.0,0.3,0.0,1.0,473.0,545.0,0.9,8.0,34.0,0.2,41.0,26.0,0.6,7.0,15.0,24.0,0.6,15.0,7.0,7.0,AC Milan,10.0,2.0,0.0,3.0,2.0,6.0,38.9,7.0,4.0,0.6,0.0,0.0,276.0,353.0,0.8,3.0,11.0,0.3,50.0,14.0,0.3,0.0,12.0,31.0,0.4,10.0,28.0,28.0,618778,2021-09-15 19:00:00,2021
