competicion,fecha,local,visita,goles_local,goles_visita,tiros_local,tiros_visita,tiros_arco_local,tiros_arco_visita,corners_local,corners_visita,faltas_local,faltas_visita,posesion_local,posesion_visita,elo_local,elo_visita
Amistosos 2018-19,2018-06-03,Andorra,Cape Verde,0.0,0.0,,,,,,,,,,,1068.9,1558.1
Amistosos 2018-19,2018-06-04,Serbia,Chile,0.0,1.0,,,,,,,,,,,1803.8,1925.7
Amistosos 2018-19,2018-06-04,Morocco,Slovakia,2.0,1.0,,,,,,,,,,,1798.4,1797.1
Amistosos 2018-19,2018-06-04,Italy,Netherlands,1.0,1.0,,,,,,,,,,,1934.3,1943.8
Amistosos 2018-19,2018-06-04,Armenia,Moldova,0.0,0.0,,,,,,,,,,,1499.2,1361.2
Amistosos 2018-19,2018-06-04,India,Kenya,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1367.1,1517.2
Amistosos 2018-19,2018-06-05,Luxembourg,Georgia,1.0,0.0,,,,,,,,,,,1361.1,1565.4
Amistosos 2018-19,2018-06-05,Romania,Finland,2.0,0.0,,,,,,,,,,,1757.3,1645.6
Amistosos 2018-19,2018-06-05,Eswatini,Botswana,0.0,2.0,,,,,,,,,,,1387.2,1439.4
Amistosos 2018-19,2018-06-05,Russia,Turkey,1.0,1.0,,,,,,,,,,,1735.8,1766.8
Amistosos 2018-19,2018-06-05,Namibia,South Africa,1.0,4.0,,,,,,,,,,,1484.2,1630.6
Amistosos 2018-19,2018-06-05,Chinese Taipei,New Zealand,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.9,1672.5
Amistosos 2018-19,2018-06-05,Kazakhstan,Azerbaijan,3.0,0.0,,,,,,,,,,,1392.5,1445.5
Amistosos 2018-19,2018-06-05,Lithuania,Latvia,1.0,1.0,,,,,,,,,,,1436.2,1419.2
Amistosos 2018-19,2018-06-06,Belgium,Egypt,3.0,0.0,,,,,,,,,,,1973.1,1751.4
Amistosos 2018-19,2018-06-06,Lesotho,Zimbabwe,0.0,0.0,,,,,,,,,,,1362.8,1565.3
Amistosos 2018-19,2018-06-06,Norway,Panama,1.0,0.0,,,,,,,,,,,1667.4,1784.4
Amistosos 2018-19,2018-06-06,Zambia,Madagascar,1.0,0.0,,,,,,,,,,,1583.6,1464.6
Amistosos 2018-19,2018-06-06,Nigeria,Czech Republic,0.0,1.0,,,,,,,,,,,1743.3,1732.0
Amistosos 2018-19,2018-06-06,Belarus,Hungary,1.0,1.0,,,,,,,,,,,1567.4,1631.2
Amistosos 2018-19,2018-06-07,Uruguay,Uzbekistan,3.0,0.0,,,,,,,,,,,1936.3,1702.2
Amistosos 2018-19,2018-06-07,Iceland,Ghana,2.0,2.0,,,,,,,,,,,1827.2,1746.0
Amistosos 2018-19,2018-06-07,Portugal,Algeria,3.0,0.0,,,,,,,,,,,2020.4,1643.9
Amistosos 2018-19,2018-06-07,South Korea,Bolivia,0.0,0.0,,,,,,,,,,,1802.9,1688.5
