local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600188,2021-04-18 12:30:00,2021
Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600189,2021-04-18 12:30:00,2021
Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600187,2021-04-18 15:00:00,2021
SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600185,2021-04-20 16:30:00,2021
TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600186,2021-04-20 16:30:00,2021
Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600184,2021-04-20 18:30:00,2021
WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600182,2021-04-21 16:30:00,2021
SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600183,2021-04-21 16:30:00,2021
LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600181,2021-04-21 18:30:00,2021
FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600178,2021-04-24 15:00:00,2021
SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600180,2021-04-24 15:00:00,2021
SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600179,2021-04-24 15:00:00,2021
Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600177,2021-04-25 12:30:00,2021
Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600176,2021-04-25 12:30:00,2021
SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600175,2021-04-25 15:00:00,2021
Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600172,2021-04-27 16:30:00,2021
TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600173,2021-04-27 16:30:00,2021
St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600174,2021-04-27 16:30:00,2021
WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600169,2021-04-28 16:30:00,2021
RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600171,2021-04-28 16:30:00,2021
LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600170,2021-04-28 16:30:00,2021
FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600168,2021-05-08 15:00:00,2021
SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600166,2021-05-08 15:00:00,2021
TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600167,2021-05-08 15:00:00,2021
SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600164,2021-05-09 12:30:00,2021
LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600165,2021-05-09 12:30:00,2021
Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600163,2021-05-09 15:00:00,2021
St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600162,2021-05-11 16:30:00,2021
SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600161,2021-05-11 16:30:00,2021
Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600160,2021-05-11 18:30:00,2021
WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600159,2021-05-12 16:30:00,2021
Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600158,2021-05-12 16:30:00,2021
RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600157,2021-05-12 18:30:00,2021
Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600156,2021-05-15 15:00:00,2021
SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600155,2021-05-15 15:00:00,2021
TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600154,2021-05-15 15:00:00,2021
WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600153,2021-05-16 15:00:00,2021
SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600151,2021-05-16 15:00:00,2021
LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600152,2021-05-16 15:00:00,2021
SV Josko Ried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600148,2021-05-21 17:00:00,2021
St. Pölten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600150,2021-05-21 17:00:00,2021
FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC Rheindorf Altach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600149,2021-05-21 17:00:00,2021
Rapid Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LASK Linz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600145,2021-05-22 15:00:00,2021
RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600147,2021-05-22 15:00:00,2021
Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600146,2021-05-22 15:00:00,2021
TSV Hartberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602833,2021-05-24 15:00:00,2021
Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602846,2021-05-27 17:00:00,2021
Wolfsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602845,2021-05-30 15:00:00,2021
SK Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606637,2021-07-23 18:30:00,2021
WSG Swarovski Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Admira Wacker Modling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606634,2021-07-24 15:00:00,2021
